Entity,Code,Year,SF₆ gases (tonnes),PFC gases (tonnes),HFC gases (tonnes),Nitrous oxide (N₂O) (tonnes),Methane (CH₄) (tonnes),co2
Afghanistan,AFG,1960,,,,,,414371
Afghanistan,AFG,1961,,,,,,491378
Afghanistan,AFG,1962,,,,,,689396
Afghanistan,AFG,1963,,,,,,707731
Afghanistan,AFG,1964,,,,,,839743
Afghanistan,AFG,1965,,,,,,1008425
Afghanistan,AFG,1966,,,,,,1092766
Afghanistan,AFG,1967,,,,,,1283450
Afghanistan,AFG,1968,,,,,,1224778
Afghanistan,AFG,1969,,,,,,942419
Afghanistan,AFG,1970,,,,3042256.3,10202000,1672152
Afghanistan,AFG,1971,,,,3006138.1999999997,10201500,1895839
Afghanistan,AFG,1972,,,,2530158,9170590,1532806
Afghanistan,AFG,1973,,,,2674404.1,9403540,1639149
Afghanistan,AFG,1974,,,,2937318.2,9987930,1917841
Afghanistan,AFG,1975,,,,3153723,10476600,2126860
Afghanistan,AFG,1976,,,,3265633,10535600,1987514
Afghanistan,AFG,1977,,,,3268981,10455900,2390884
Afghanistan,AFG,1978,,,,3272918,10380100,2159863
Afghanistan,AFG,1979,,,,3214545,10176200,2240537
Afghanistan,AFG,1980,,,,3275026,10376600,1760160
Afghanistan,AFG,1981,,,,3256705,10304800,1983847
Afghanistan,AFG,1982,,,,3327323,10259800,2101191
Afghanistan,AFG,1983,,,,3188660,9858040,2522896
Afghanistan,AFG,1984,,,,3062152.0999999996,9054650,2830924
Afghanistan,AFG,1985,,,,2862536.9,8308709.999999999,3509319
Afghanistan,AFG,1986,,,,2516902.4,7415090,3142619
Afghanistan,AFG,1987,,,,2677107.3000000003,7485190,3124284
Afghanistan,AFG,1988,,,,2772044.8000000003,7920270,2867594
Afghanistan,AFG,1989,,,,2771307,7465040,2775919
Afghanistan,AFG,1990,,,,2748196.5,7627580,2614571
Afghanistan,AFG,1991,,,,2755893.8,7702080,2438555
Afghanistan,AFG,1992,,,,2719013.1,7385530,1393460
Afghanistan,AFG,1993,,,,2766650.8,7474890,1345789
Afghanistan,AFG,1994,,,,2594427.2,7666930,1294451
Afghanistan,AFG,1995,,,,2735142.4000000004,7885840,1243113
Afghanistan,AFG,1996,,,,2948806.8,8611680,1177107
Afghanistan,AFG,1997,,,,3177996,9213600,1096433
Afghanistan,AFG,1998,,,,3332996,9700170,1041428.0000000001
Afghanistan,AFG,1999,,,,3600557,10305900,821408
Afghanistan,AFG,2000,,,,3316566,9384180,773737
Afghanistan,AFG,2001,,,,3058894,8666500,817741
Afghanistan,AFG,2002,,,,3374660,9929430,1070764
Afghanistan,AFG,2003,,,,3337088,10350600,1195442
Afghanistan,AFG,2004,,,,3352371,10521400,949753
Afghanistan,AFG,2005,,,,3411736,10698700,1327454
Afghanistan,AFG,2006,,,,3426120,10869900,1650150
Afghanistan,AFG,2007,,,,3470357,11049700,2273540
Afghanistan,AFG,2008,,,,3497234,11224400,4206049
Afghanistan,AFG,2009,,,,3341149,11497300,6769282
Afghanistan,AFG,2010,,,,3356556,13493300,8463436
Afghanistan,AFG,2011,,,,3390121.56,13628233,12240446
Afghanistan,AFG,2012,,,,3423687.12,13763166,10755311
Afghanistan,AFG,2013,,,,,,10014577
Afghanistan,AFG,2014,,,,,,9809225
